lat,lon,allocatedcity,concat
51.3,1,canterbury,51.3:1
53.7,-1.5,sheffield,53.7:-1.5
53.5,-1,sheffield,53.5:-1
53.5,-2.4,warrington,53.5:-2.4
51.2,-2.6,salisbury,51.2:-2.6
53.1,-0.6,peterborough,53.1:-0.6
51.6,-3.2,cardiff,51.6:-3.2
51.2,0.9,canterbury,51.2:0.9
51,0.2,brighton,51:0.2
53.2,-2.7,warrington,53.2:-2.7
55.8,-3,edinburgh,55.8:-3
51.8,0,london,51.8:0
52.8,-1.2,birmingham,52.8:-1.2
53.5,-2.5,warrington,53.5:-2.5
51.5,-2.4,cardiff,51.5:-2.4
50.9,-1.3,salisbury,50.9:-1.3
51.7,-4.2,cardiff,51.7:-4.2
55,-1.8,newcastle,55:-1.8
57.1,-2.1,Aberdeen,57.1:-2.1
52.7,0.9,norwich,52.7:0.9
53.8,-1,sheffield,53.8:-1
51.5,-1.1,oxford,51.5:-1.1
52,0.3,london,52:0.3
55.9,-4.1,edinburgh,55.9:-4.1
54.3,-1.5,newcastle,54.3:-1.5
53.6,-2.9,warrington,53.6:-2.9
53.5,-3,warrington,53.5:-3
51,0.1,brighton,51:0.1
53.8,-1.6,sheffield,53.8:-1.6
51.3,-1.6,salisbury,51.3:-1.6
54.3,-1.4,scarborough,54.3:-1.4
51.6,-0.7,london,51.6:-0.7
51.6,-3.5,cardiff,51.6:-3.5
51.4,-1.3,oxford,51.4:-1.3
52.1,1.1,norwich,52.1:1.1
51.8,0.6,london,51.8:0.6
51.9,0.3,london,51.9:0.3
51.3,0.5,canterbury,51.3:0.5
56.6,-3.2,edinburgh,56.6:-3.2
51.5,-0.5,london,51.5:-0.5
50.8,-3.7,okehampton,50.8:-3.7
50.4,-3.6,okehampton,50.4:-3.6
52.3,-0.2,peterborough,52.3:-0.2
54.3,-0.4,scarborough,54.3:-0.4
53.1,-2.2,warrington,53.1:-2.2
51.3,0,london,51.3:0
56.2,-3,edinburgh,56.2:-3
54.2,-1,scarborough,54.2:-1
54,-0.5,scarborough,54:-0.5
54.8,-1.6,newcastle,54.8:-1.6
53.7,-1.7,sheffield,53.7:-1.7
52.1,0.2,london,52.1:0.2
52.9,-2.1,birmingham,52.9:-2.1
51.3,-2.8,salisbury,51.3:-2.8
51,-3.1,okehampton,51:-3.1
52.9,-1.9,birmingham,52.9:-1.9
53.2,-4.5,corwen,53.2:-4.5
53,-2.2,warrington,53:-2.2
52.5,-1,peterborough,52.5:-1
54.5,-5.9,dumfries,54.5:-5.9
54.8,-1.4,newcastle,54.8:-1.4
53,-1.2,sheffield,53:-1.2
52.6,1.4,norwich,52.6:1.4
52.6,-1.3,birmingham,52.6:-1.3
51.9,-0.2,london,51.9:-0.2
51.7,-1.1,oxford,51.7:-1.1
53.1,-2.3,warrington,53.1:-2.3
56,-4.2,edinburgh,56:-4.2
51.7,0,london,51.7:0
51.6,-0.4,london,51.6:-0.4
51.2,-2.2,salisbury,51.2:-2.2
53.5,-2.9,warrington,53.5:-2.9
52.6,-1.2,birmingham,52.6:-1.2
52.2,-1.8,birmingham,52.2:-1.8
54.7,-1.5,newcastle,54.7:-1.5
52.2,-1.4,oxford,52.2:-1.4
51,0.5,brighton,51:0.5
53.9,-1.5,sheffield,53.9:-1.5
53.7,-2,warrington,53.7:-2
51.7,-0.4,london,51.7:-0.4
52.7,1.7,norwich,52.7:1.7
51.6,-3.3,cardiff,51.6:-3.3
51.4,-0.5,london,51.4:-0.5
55.9,-4.4,edinburgh,55.9:-4.4
52,-0.3,london,52:-0.3
50.8,-2.2,salisbury,50.8:-2.2
51.4,-0.8,oxford,51.4:-0.8
